"Ewe";"BW.time";"BCS.time";"Year";"Parity";"Age_mating";"LS";"state.num";"day";"BW";"BCS";"BCSm";"BCS1"
21004;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38000;3.1;3.5;3.1
21004;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.7;3.5;2.7
21004;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.5;3.5;2.5
21007;"BW-M";"BCS-M";2003;1;1;"2";"0";0;41400;2.9;3.5;2.9
21007;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21007;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;3.5;2.9
21009;"BW-M";"BCS-M";2003;1;1;"2";"0";0;41100;3.3;4;3.3
21009;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.2;4;3.2
21009;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;4;2.9
21010;"BW-M";"BCS-M";2003;1;1;"1";"0";0;38800;3.2;3.5;3.2
21011;"BW-M";"BCS-M";2004;1;2;"1";"0";0;39700;2.6;3.5;2.6
21011;"BW-Pa";"BCS-Pa";2004;1;2;"1";"40";40;NA;2.8;3.5;2.8
21013;"BW-M";"BCS-M";2004;1;2;"2";"0";0;60100;3;3.5;3
21013;"BW-Pa";"BCS-Pa";2004;1;2;"2";"40";40;NA;3;3.5;3
21019;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38700;2.6;3.5;2.6
21019;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.5;3.5;2.5
21019;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.5;3.5;2.5
21026;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39600;3;3.5;3
21026;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21026;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;3;3.5;3
21034;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39000;3;3.5;3
21034;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.1;3.5;3.1
21034;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.8;3.5;2.8
21036;"BW-M";"BCS-M";2003;1;1;"2";"0";0;40200;2.8;3.5;2.8
21036;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.8;3.5;2.8
21036;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.7;3.5;2.7
21040;"BW-M";"BCS-M";2003;1;1;"2";"0";0;41900;2.9;3.5;2.9
21040;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.6;3.5;2.6
21040;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.8;3.5;2.8
21059;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37900;3;3.5;3
21059;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.1;3.5;3.1
21059;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;3.5;2.9
21061;"BW-M";"BCS-M";2004;1;2;"4";"0";0;43300;2.4;3.5;2.4
21061;"BW-Pa";"BCS-Pa";2004;1;2;"4";"40";40;NA;2.6;3.5;2.6
21069;"BW-M";"BCS-M";2003;1;1;"2";"0";0;43300;3;3.5;3
