"Ewe.ID","line","Parity","dbeg","dend","bcsinit"
21004,1,1,0,248,3.09415104716227
21004,1,2,412,549,2.50359823051739
21004,1,3,728,899,2.6164804692487
21007,2,1,30,315,3.00698837019404
21007,2,2,481,641,3.08901365115327
21007,2,3,776,930,3.00540930438247
21009,3,1,5,318,3.31294617684734
21009,3,2,446,558,3.00462824487124
21009,3,3,727,923,3.25208715381865
21010,4,1,20,248,3.28863838142821
21010,4,2,NA,NA,0
21010,4,3,NA,NA,0
21011,5,1,75,277,2.82636635727476
21011,5,2,436,602,2.77360348985601
21011,5,3,NA,NA,0
21013,6,1,0,218,3.00184769517988
21013,6,2,403,574,3.03751699557184
21013,6,3,NA,NA,0
21019,7,1,0,247,2.59675127490785
21019,7,2,400,548,2.44405930028398
21019,7,3,814,951,2.78487684579219
21026,8,1,28,275,3.02493132065369
21026,8,2,441,555,2.74808191889693
21026,8,3,727,916,2.91898221037449
21034,9,1,23,195,3.10220722805955
21034,9,2,450,539,2.53191335538842
21034,9,3,778,941,2.81058674203392
21036,10,1,16,253,2.82585744503317
21036,10,2,401,660,2.88105240352169
21036,10,3,728,970,2.92219418847457
21040,11,1,0,201,2.87966760199401
21040,11,2,449,577,2.41905446308362
21040,11,3,783,970,2.55015442390126
21059,12,1,27,199,3.1105973463653
21059,12,2,440,557,2.59435441340474
21059,12,3,776,970,2.84507367564867
21061,13,1,83,215,2.7745179124062
21061,13,2,374,521,2.57622697416734
21061,13,3,NA,NA,0
21069,14,1,14,312,3.04734089866761
21069,14,2,NA,NA,0
21069,14,3,788,902,3.04047409594966
21072,15,1,NA,NA,0
21072,15,2,428,546,2.57852941534247
21072,15,3,819,956,2.8584654887756
21077,16,1,0,172,2.69983468503008
21077,16,2,NA,NA,0
21077,16,3,NA,NA,0
21081,17,1,0,181,3.0892129834438
21081,17,2,454,604,2.93226236916848
21081,17,3,800,989,2.9044643046092
21092,18,1,15,192,2.92177469933108
21092,18,2,NA,NA,0
21092,18,3,NA,NA,0
21094,19,1,20,250,2.94449523710898
21094,19,2,391,575,2.627365401888
21094,19,3,754,970,2.61581217811389
21099,20,1,97,237,3.06023757557552
21099,20,2,390,555,2.90756803326854
21099,20,3,NA,NA,0
21102,21,1,0,194,2.69266012908246
21102,21,2,NA,NA,0
21102,21,3,NA,NA,0
21103,22,1,0,226,2.8926105308717
21103,22,2,429,539,2.70218215020089
21103,22,3,720,938,2.94327964319753
21104,23,1,0,193,2.79969898573748
21104,23,2,NA,NA,0
21104,23,3,NA,NA,0
21106,24,1,23,190,3.28646221885687
21106,24,2,NA,NA,0
21106,24,3,NA,NA,0
21107,25,1,16,315,2.93748358901374
21107,25,2,430,478,2.38335971897363
21107,25,3,694,845,2.88658667646152
21113,26,1,17,257,3.27239906277335
21113,26,2,433,616,2.71292117274105
21113,26,3,799,987,2.83529152604678
21114,27,1,84,212,2.85361924822177
21114,27,2,378,542,2.89077713136652
21114,27,3,NA,NA,0
21121,28,1,0,218,3.2948699944661
21121,28,2,460,560,2.95023090988826
21121,28,3,720,938,2.99049514191762
21124,29,1,25,242,2.80191773280242
21124,29,2,419,549,2.41406236049006
21124,29,3,764,916,2.66336856218097
21126,30,1,22,203,2.97132260376179
21126,30,2,444,559,2.8740634600802
21126,30,3,720,966,2.8162834706933
21132,31,1,42,173,3.09272174047234
21132,31,2,NA,NA,0
21132,31,3,NA,NA,0
21133,32,1,76,209,2.85239187219828
21133,32,2,384,555,2.84835282007306
21133,32,3,NA,NA,0
21135,33,1,24,308,3.11107228717214
21135,33,2,444,595,3.19381260611078
21135,33,3,750,880,3.08185376830396
21136,34,1,46,193,3.29486335781929
21136,34,2,NA,NA,0
21136,34,3,NA,NA,0
21137,35,1,80,201,3.16626751238256
21137,35,2,448,567,2.82860495591078
21137,35,3,752,970,3.12293963280239
21139,36,1,77,215,2.95861455377428
21139,36,2,376,555,2.80687676283608
21139,36,3,NA,NA,0
21140,37,1,32,201,2.67553693394712
21140,37,2,392,523,2.60541172003514
21140,37,3,NA,NA,0
21141,38,1,0,201,3.18775575926628
21141,38,2,462,563,3.03854714252459
21141,38,3,767,949,3.22983493064232
21144,39,1,0,212,3.09568009079718
21144,39,2,NA,NA,0
21144,39,3,NA,NA,0
21145,40,1,NA,NA,0
21145,40,2,385,532,3.27870190038221
21145,40,3,NA,NA,0
21158,42,1,2,215,3.00833482207381
21158,42,2,448,584,2.76084640051015
21158,42,3,752,910,2.89093272425265
21159,43,1,71,204,2.62977419628709
21159,43,2,490,609,2.76103099746158
21159,43,3,732,988,2.8613619304352
21170,44,1,NA,NA,0
21170,44,2,363,670,2.81057881954266
21170,44,3,NA,NA,0
21173,45,1,77,251,2.93934913755107
21173,45,2,414,670,2.92243546066805
21173,45,3,NA,NA,0
21180,46,1,32,310,3.14339153282163
21180,46,2,473,556,2.75598727112553
21180,46,3,741,970,3.0504133839297
21183,47,1,5,201,3.31014416859943
21183,47,2,447,556,2.52044110745975
21183,47,3,841,970,2.91920702491974
21189,48,1,0,220,2.6924308893074
21189,48,2,409,585,2.92275181425648
21189,48,3,NA,NA,0
21191,49,1,0,233,3.19139546224997
21191,49,2,390,551,2.74471546193219
21191,49,3,779,949,2.8338104906625
21193,50,1,26,172,2.90303744242262
21193,50,2,488,560,2.71610449487482
21193,50,3,720,1050,2.75876629209344
21194,51,1,0,248,2.79485604102352
21194,51,2,407,573,2.72991194573845
21194,51,3,NA,NA,0
21200,52,1,23,277,2.89986465528418
21200,52,2,439,575,2.53343830517592
21200,52,3,755,880,2.55993993669864
21202,53,1,18,230,2.82036732059195
21202,53,2,NA,NA,0
21202,53,3,NA,NA,0
21205,54,1,42,310,2.90929213307708
21205,54,2,NA,NA,0
21205,54,3,NA,NA,0
21207,55,1,36,193,2.81604101408665
21207,55,2,441,544,2.55607336139601
21207,55,3,684,970,2.65750306365848
21210,56,1,91,242,3.21251946914533
21210,56,2,397,559,2.83108624168099
21210,56,3,NA,NA,0
21212,57,1,53,181,3.04149859311359
21212,57,2,382,570,3.52929005767549
21212,57,3,NA,NA,0
21215,58,1,92,224,2.80901459608674
21215,58,2,396,575,2.8278471418858
21215,58,3,NA,NA,0
21216,59,1,27,167,2.78561679772388
21216,59,2,NA,NA,0
21216,59,3,NA,NA,0
21219,60,1,31,169,2.89434387872704
21219,60,2,509,550,2.75446604775937
21219,60,3,749,970,2.92699385446668
21220,61,1,0,183,3.19356788917855
21220,61,2,455,579,2.67888522544054
21220,61,3,752,1030,2.70448129029826
21224,62,1,29,208,2.93322977680787
21224,62,2,NA,NA,0
21224,62,3,720,897,2.84522949101189
21225,63,1,91,237,3.00760976597784
21225,63,2,396,529,2.8776675437899
21225,63,3,NA,NA,0
21226,64,1,15,304,2.97376430482179
21226,64,2,453,574,2.81738433031046
21226,64,3,720,896,2.63588991068484
21228,65,1,15,223,2.73220460525009
21228,65,2,NA,NA,0
21228,65,3,NA,NA,0
21238,66,1,79,222,3.09961204302219
21238,66,2,384,535,3.0907771698517
21238,66,3,NA,NA,0
