"ID","i","parity","kb","kp","tb","te","BCSm","Pmax","opt"
21004,1,1,0.00283878141371768,0.00609949230707941,0,248,3.5,2,0.584023221715225
21004,1,2,0.0031817514020476,0.00652972788522437,412,549,3.5,2,0.584023221715225
21004,1,3,0.00345411203056155,0.00628848469977608,728,899,3.5,2,0.584023221715225
21007,2,1,0.00477419485477268,0.00464787886204243,30,315,3.5,2,0.592728540242551
21007,2,2,0.00431316244952707,0.00257914346303274,481,641,3.5,2,0.592728540242551
21007,2,3,0.00391735344919456,0.0041115275757339,776,930,3.5,2,0.592728540242551
21009,3,1,0.00257985384196319,0.00564852312810691,5,318,4,2,0.743641163851139
21009,3,2,0.0039581857449461,0.00613682181371017,446,558,4,2,0.743641163851139
21009,3,3,0.00139823796373248,0.00583384997595908,727,923,4,2,0.743641163851139
21010,4,1,0.00206305439105419,0.00398082404112012,20,248,3.5,2,0.300795437675182
21010,4,2,NA,NA,NA,NA,3.5,2,0.300795437675182
21010,4,3,NA,NA,NA,NA,3.5,2,0.300795437675182
21011,5,1,0.00260750120746332,0.00302066029602185,75,277,3.5,2,0.305895412704376
21011,5,2,0.00260471343674573,0.00300330354097156,436,602,3.5,2,0.305895412704376
21011,5,3,NA,NA,NA,NA,3.5,2,0.305895412704376
21013,6,1,0.00324483640867679,0.00358099080247206,0,218,3.5,2,0.476179825022024
21013,6,2,0.00277917502339784,0.00341980270784226,403,574,3.5,2,0.476179825022024
21013,6,3,NA,NA,NA,NA,3.5,2,0.476179825022024
21019,7,1,0.00332613367438001,0.00488225270487117,0,247,3.5,2,0.739062359585462
21019,7,2,0.00287935675821533,0.00641280596152492,400,548,3.5,2,0.739062359585462
21019,7,3,0.00219102767898321,0.00628737884668668,814,951,3.5,2,0.739062359585462
21026,8,1,0.0035200059295262,0.00473139665530505,28,275,3.5,2,0.705366347841352
21026,8,2,0.00419540112773481,0.00595148253585042,441,555,3.5,2,0.705366347841352
21026,8,3,0.00271178687124883,0.00515411296772178,727,916,3.5,2,0.705366347841352
21034,9,1,0.00172852735690131,0.0048209476967269,23,195,3.5,2,0.619912884070045
21034,9,2,0.00273379596366128,0.00509902231633658,450,539,3.5,2,0.619912884070045
21034,9,3,0.00433851136481719,0.00488824624982967,778,941,3.5,2,0.619912884070045
21036,10,1,0.00460125765807678,0.00488184330025938,16,253,3.5,2,0.49966550203151
21036,10,2,0.00430251264820888,0.00255066902688823,401,660,3.5,2,0.49966550203151
21036,10,3,0.00261242583592722,0.00351344099004287,728,970,3.5,2,0.49966550203151
21040,11,1,0.00245716673209755,0.00535943288204201,0,201,3.5,2,0.886757325477548
21040,11,2,0.00250572424193648,0.0069942074307732,449,577,3.5,2,0.886757325477548
21040,11,3,0.00417511815307747,0.00779873150924195,783,970,3.5,2,0.886757325477548
21059,12,1,0.00264092893435949,0.00701579415265591,27,199,3.5,2,0.752505791500002
21059,12,2,0.00358839033549615,0.00721161454417454,440,557,3.5,2,0.752505791500002
21059,12,3,0.00368656949044122,0.00690896924601098,776,970,3.5,2,0.752505791500002
21061,13,1,0.00302390447586868,0.0055199308870395,83,215,3.5,2,0.485752884861177
21061,13,2,0.0032371847427217,0.00381903672060882,374,521,3.5,2,0.485752884861177
21061,13,3,NA,NA,NA,NA,3.5,2,0.485752884861177
21069,14,1,0.00427961200901114,0.00417349580668323,14,312,3.5,2,0.245995095413013
21069,14,2,NA,NA,NA,NA,3.5,2,0.245995095413013
21069,14,3,0.00463987763640378,0.00283403169634271,788,902,3.5,2,0.245995095413013
21072,15,1,NA,NA,NA,NA,3.5,2,0.385781131796133
21072,15,2,0.00301928611803321,0.00289386937188276,428,546,3.5,2,0.385781131796133
21072,15,3,0.00167709686191306,0.00402159453082956,819,956,3.5,2,0.385781131796133
21077,16,1,0.00199993231898645,0.00303373898525628,0,172,3.5,2,0.169644180260156
21077,16,2,NA,NA,NA,NA,3.5,2,0.169644180260156
21077,16,3,NA,NA,NA,NA,3.5,2,0.169644180260156
21081,17,1,0.00307625059427442,0.00773264467734938,0,181,3.5,2,0.787781533179844
21081,17,2,0.00412207201249586,0.00599098967237917,454,604,3.5,2,0.787781533179844
21081,17,3,0.00258769293474398,0.00458594594345653,800,989,3.5,2,0.787781533179844
21092,18,1,0.00202561233974643,0.00408488493462675,15,192,3.5,2,0.211585791351806
21092,18,2,NA,NA,NA,NA,3.5,2,0.211585791351806
21092,18,3,NA,NA,NA,NA,3.5,2,0.211585791351806
21094,19,1,0.00386431729885816,0.00676703063995013,20,250,3.5,2,0.654776656351937
21094,19,2,0.00317420515124362,0.00644070831444156,391,575,3.5,2,0.654776656351937
21094,19,3,0.00393054036119988,0.00565286473252551,754,970,3.5,2,0.654776656351937
21099,20,1,0.00411161349954238,0.0049120493498246,97,237,3.5,2,0.509806270678755
21099,20,2,0.00220023925809628,0.00480449231341182,390,555,3.5,2,0.509806270678755
21099,20,3,NA,NA,NA,NA,3.5,2,0.509806270678755
21102,21,1,0.002,0.003,0,194,3.5,2,0.134263450239647
21102,21,2,NA,NA,NA,NA,3.5,2,0.134263450239647
21102,21,3,NA,NA,NA,NA,3.5,2,0.134263450239647
21103,22,1,0.00344073407225549,0.00528033981290396,0,226,3.5,2,0.582519670421486
21103,22,2,0.00471876305920535,0.007562729560691,429,539,3.5,2,0.582519670421486
21103,22,3,0.00296959475516448,0.00541082868303824,720,938,3.5,2,0.582519670421486
21104,23,1,0.00199947647422857,0.00326097759705883,0,193,3.5,2,0.185163902867838
21104,23,2,NA,NA,NA,NA,3.5,2,0.185163902867838
21104,23,3,NA,NA,NA,NA,3.5,2,0.185163902867838
21106,24,1,0.00403337972632573,0.00385007631637996,23,190,3.5,2,0.230659440645495
21106,24,2,NA,NA,NA,NA,3.5,2,0.230659440645495
21106,24,3,NA,NA,NA,NA,3.5,2,0.230659440645495
21107,25,1,0.00268699512493258,0.0052104047326303,16,315,3.5,2,0.751085220056286
21107,25,2,0.00297518793140035,0.00579127507542492,430,478,3.5,2,0.751085220056286
21107,25,3,0.00497985563962834,0.00382847472957886,694,845,3.5,2,0.751085220056286
21113,26,1,0.00330407073083072,0.00639940166939288,17,257,3.5,2,0.754805654167178
