ID,BCS_stage,Year,Parity,Age_at_first_mating,Litter_size,BCS
21004,BCS-M,2003,1,1,2,3.1
21004,BCS-Pa,2003,1,1,2,2.7
21004,BCS-Pb,2003,1,1,2,2.5
21007,BCS-M,2003,1,1,2,2.9
21007,BCS-Pa,2003,1,1,2,3.0
21007,BCS-Pb,2003,1,1,2,2.9
21009,BCS-M,2003,1,1,2,3.3
21009,BCS-Pa,2003,1,1,2,3.2
21009,BCS-Pb,2003,1,1,2,2.9
21010,BCS-M,2003,1,1,1,3.2
21011,BCS-M,2004,1,2,1,2.6
21011,BCS-Pa,2004,1,2,1,2.8
21013,BCS-M,2004,1,2,2,3.0
21013,BCS-Pa,2004,1,2,2,3.0
21019,BCS-M,2003,1,1,2,2.6
21019,BCS-Pa,2003,1,1,2,2.5
21019,BCS-Pb,2003,1,1,2,2.5
21026,BCS-M,2003,1,1,2,3.0
21026,BCS-Pa,2003,1,1,2,3.0
21026,BCS-Pb,2003,1,1,2,3.0
21034,BCS-M,2003,1,1,2,3.0
21034,BCS-Pa,2003,1,1,2,3.1
21034,BCS-Pb,2003,1,1,2,2.8
21036,BCS-M,2003,1,1,2,2.8
21036,BCS-Pa,2003,1,1,2,2.8
21036,BCS-Pb,2003,1,1,2,2.7
21040,BCS-M,2003,1,1,2,2.9
21040,BCS-Pa,2003,1,1,2,2.6
21040,BCS-Pb,2003,1,1,2,2.8
21059,BCS-M,2003,1,1,2,3.0
21059,BCS-Pa,2003,1,1,2,3.1
21059,BCS-Pb,2003,1,1,2,2.9
21061,BCS-M,2004,1,2,4,2.4
21061,BCS-Pa,2004,1,2,4,2.6
21069,BCS-M,2003,1,1,2,3.0
21069,BCS-Pa,2003,1,1,2,3.0
21072,BCS-M,2004,2,1,1,2.4
21072,BCS-Pa,2004,2,1,1,2.6
21077,BCS-M,2003,1,1,4,2.7
21081,BCS-M,2003,1,1,2,3.1
21081,BCS-Pa,2003,1,1,2,2.7
21081,BCS-Pb,2003,1,1,2,2.6
21092,BCS-M,2003,1,1,2,2.9
21094,BCS-M,2003,1,1,2,2.8
21094,BCS-Pa,2003,1,1,2,2.9
21094,BCS-Pb,2003,1,1,2,2.5
21099,BCS-M,2004,1,2,1,2.8
21099,BCS-Pa,2004,1,2,1,2.7
21102,BCS-M,2003,1,1,2,2.7
21103,BCS-M,2003,1,1,1,2.9
21103,BCS-Pa,2003,1,1,1,2.7
21103,BCS-Pb,2003,1,1,1,2.7
21104,BCS-M,2003,1,1,2,2.8
21106,BCS-M,2003,1,1,1,3.2
21107,BCS-M,2003,1,1,1,2.9
21107,BCS-Pa,2003,1,1,1,2.9
21107,BCS-Pb,2003,1,1,1,2.7
21113,BCS-M,2003,1,1,2,3.2
21113,BCS-Pa,2003,1,1,2,3.2
21113,BCS-Pb,2003,1,1,2,2.9
21114,BCS-M,2004,1,2,1,2.8
21114,BCS-Pa,2004,1,2,1,2.8
21121,BCS-M,2003,1,1,2,3.3
21121,BCS-Pa,2003,1,1,2,3.2
21121,BCS-Pb,2003,1,1,2,3.2
21124,BCS-M,2003,1,1,2,2.7
21124,BCS-Pa,2003,1,1,2,2.8
21124,BCS-Pb,2003,1,1,2,2.6
21126,BCS-M,2003,1,1,2,2.9
21126,BCS-Pa,2003,1,1,2,3.0
21126,BCS-Pb,2003,1,1,2,2.7
21132,BCS-M,2003,1,1,1,3.0
21133,BCS-M,2004,1,2,3,2.8
21133,BCS-Pa,2004,1,2,3,2.8
21135,BCS-M,2003,1,1,2,2.9
21135,BCS-Pa,2003,1,1,2,3.1
21135,BCS-Pb,2003,1,1,2,2.7
21136,BCS-M,2003,1,1,2,3.0
21137,BCS-M,2003,1,1,2,3.0
21137,BCS-Pa,2003,1,1,2,2.9
21137,BCS-Pb,2003,1,1,2,3.3
21139,BCS-M,2004,1,2,4,2.8
21139,BCS-Pa,2004,1,2,4,2.9
21140,BCS-M,2004,1,2,1,2.5
21140,BCS-Pa,2004,1,2,1,2.7
